[Name]
Momentum and Mass


[Data]
"Accumulated Timestep" "RMS U-Mom"
1 1.60739000e-03
2 3.91739793e-03
3 2.67652958e-03
4 1.71648641e-03
5 1.08266971e-03
6 6.92041591e-04
7 5.23143099e-04
8 4.27761668e-04
9 5.72453253e-04
10 7.32676475e-04
11 8.45403469e-04
12 6.87253370e-04
13 5.07596298e-04
14 4.85128781e-04
15 4.90967592e-04
16 6.15436235e-04
17 7.26727885e-04
18 7.98758003e-04
19 7.05657993e-04
20 7.57010363e-04
21 7.57147034e-04
22 9.25727887e-04
23 1.15537818e-03
24 1.24418084e-03
25 1.29487040e-03
26 1.21840055e-03
27 1.00140378e-03
28 9.94336791e-04
29 8.95791163e-04
30 8.91632633e-04
31 5.65574795e-04
32 7.53273256e-04
33 5.10339858e-04
34 3.01250198e-04
35 2.25854747e-04
36 2.20092130e-04
37 2.41916874e-04
38 1.15334857e-04
39 6.89641529e-05
40 4.53909561e-05
41 2.96277940e-05
42 2.39289930e-05
43 2.00218019e-05
44 1.72498985e-05
45 1.49667512e-05
46 1.31658608e-05
47 1.10771589e-05
48 9.38013363e-06
49 7.97309440e-06
50 6.81404572e-06
51 5.82764142e-06
52 5.28304508e-06
53 4.46922695e-06
54 3.76663570e-06
55 3.19368314e-06
56 2.64695450e-06
57 2.18013838e-06
58 1.80984409e-06
59 1.52153393e-06
60 1.30468845e-06
61 1.14092927e-06
62 1.01689182e-06
63 9.22213985e-07
64 8.35097126e-07
65 7.80115045e-07
66 7.35860851e-07
67 6.95060123e-07
68 6.46659316e-07
69 6.17146043e-07
70 5.86723900e-07
71 5.58050829e-07
72 5.22343555e-07
73 4.97708868e-07
